# Nmap 7.95 scan initiated Tue Sep 22 11:58:02 2026 as: nmap -sn -v --reason -oN results/discovery-unprivileged.txt 10.10.10.0/24
Nmap scan report for 10.10.10.0 [host down, received no-response]
Nmap scan report for 10.10.10.1 [host down, received no-response]
Nmap scan report for 10.10.10.2 [host down, received no-response]
Nmap scan report for 10.10.10.3 [host down, received no-response]
Nmap scan report for 10.10.10.4 [host down, received no-response]
Nmap scan report for 10.10.10.5 [host down, received no-response]
Nmap scan report for 10.10.10.6 [host down, received no-response]
Nmap scan report for 10.10.10.7 [host down, received no-response]
Nmap scan report for 10.10.10.8 [host down, received no-response]
Nmap scan report for 10.10.10.9 [host down, received no-response]
Nmap scan report for 10.10.10.10
Host is up, received conn-refused (0.0014s latency).
Nmap scan report for 10.10.10.11 [host down, received no-response]
Nmap scan report for 10.10.10.12 [host down, received no-response]
Nmap scan report for 10.10.10.13 [host down, received no-response]
Nmap scan report for 10.10.10.14 [host down, received no-response]
Nmap scan report for 10.10.10.15 [host down, received no-response]
Nmap scan report for 10.10.10.16 [host down, received no-response]
Nmap scan report for 10.10.10.17 [host down, received no-response]
Nmap scan report for 10.10.10.18 [host down, received no-response]
Nmap scan report for 10.10.10.19 [host down, received no-response]
Nmap scan report for 10.10.10.20
Host is up, received conn-refused (0.0070s latency).
Nmap scan report for 10.10.10.21 [host down, received no-response]
Nmap scan report for 10.10.10.22 [host down, received no-response]
Nmap scan report for 10.10.10.23 [host down, received no-response]
Nmap scan report for 10.10.10.24 [host down, received no-response]
Nmap scan report for 10.10.10.25 [host down, received no-response]
Nmap scan report for 10.10.10.26 [host down, received no-response]
Nmap scan report for 10.10.10.27 [host down, received no-response]
Nmap scan report for 10.10.10.28 [host down, received no-response]
Nmap scan report for 10.10.10.29 [host down, received no-response]
Nmap scan report for 10.10.10.30 [host down, received no-response]
Nmap scan report for 10.10.10.31 [host down, received no-response]
Nmap scan report for 10.10.10.32 [host down, received no-response]
Nmap scan report for 10.10.10.33 [host down, received no-response]
Nmap scan report for 10.10.10.34 [host down, received no-response]
Nmap scan report for 10.10.10.35 [host down, received no-response]
Nmap scan report for 10.10.10.36 [host down, received no-response]
Nmap scan report for 10.10.10.37 [host down, received no-response]
Nmap scan report for 10.10.10.38 [host down, received no-response]
Nmap scan report for 10.10.10.39 [host down, received no-response]
Nmap scan report for 10.10.10.40 [host down, received no-response]
Nmap scan report for 10.10.10.41 [host down, received no-response]
Nmap scan report for 10.10.10.42 [host down, received no-response]
Nmap scan report for 10.10.10.43 [host down, received no-response]
Nmap scan report for 10.10.10.44 [host down, received no-response]
Nmap scan report for 10.10.10.45 [host down, received no-response]
Nmap scan report for 10.10.10.46 [host down, received no-response]
Nmap scan report for 10.10.10.47 [host down, received no-response]
Nmap scan report for 10.10.10.48 [host down, received no-response]
Nmap scan report for 10.10.10.49 [host down, received no-response]
Nmap scan report for 10.10.10.50 [host down, received no-response]
Nmap scan report for 10.10.10.51 [host down, received no-response]
Nmap scan report for 10.10.10.52 [host down, received no-response]
Nmap scan report for 10.10.10.53 [host down, received no-response]
Nmap scan report for 10.10.10.54 [host down, received no-response]
Nmap scan report for 10.10.10.55 [host down, received no-response]
Nmap scan report for 10.10.10.56 [host down, received no-response]
Nmap scan report for 10.10.10.57 [host down, received no-response]
Nmap scan report for 10.10.10.58 [host down, received no-response]
Nmap scan report for 10.10.10.59 [host down, received no-response]
Nmap scan report for 10.10.10.60 [host down, received no-response]
Nmap scan report for 10.10.10.61 [host down, received no-response]
Nmap scan report for 10.10.10.62 [host down, received no-response]
Nmap scan report for 10.10.10.63 [host down, received no-response]
Nmap scan report for 10.10.10.64 [host down, received no-response]
Nmap scan report for 10.10.10.65 [host down, received no-response]
Nmap scan report for 10.10.10.66 [host down, received no-response]
Nmap scan report for 10.10.10.67 [host down, received no-response]
Nmap scan report for 10.10.10.68 [host down, received no-response]
Nmap scan report for 10.10.10.69 [host down, received no-response]
